query,product_id,Baseline_Vis,Baseline_VGS,Baseline_Overall,Trained_Vis,Trained_VGS,Trained_Overall,Winner,Baseline_Pct,Trained_Pct
essential oil storage box 40 bottle capacity,B01DR382P6,0.6383,1.0,0.81915,0.614,0.8044,0.7092,Baseline,37.7%,59.7%
essential oil storage box 40 bottle capacity,B07RYFJ9Y7,0.3744,1.0,0.6872,2.168,0.7266,1.4473,Trained,37.2%,60.3%
red green tablecloth for dinner party,B07WTBC69Q,0.0,1.0,0.5,0.0,1.0,0.5,Tie,36.7%,59.5%
red green tablecloth for dinner party,B0915MH9HQ,0.0,1.0,0.5,1.3979,1.0,1.19895,Trained,36.2%,60.0%
red green tablecloth for dinner party,B07JXSCZGD,0.0,0.9883,0.49415,0.6818,0.8139,0.7478499999999999,Trained,35.8%,60.5%
Egyptian cotton pillowcase with zipper,B084DPYLKX,0.0,0.823,0.4115,0.0,0.8861,0.44305,Trained,35.4%,61.0%
Egyptian cotton pillowcase with zipper,B0BN95NVNX,1.4822,0.8808,1.1815,0.0,0.8093,0.40465,Baseline,36.1%,60.2%
Egyptian cotton pillowcase with zipper,B092MLNXXP,4.4937,1.0,2.74685,1.818,1.0,1.409,Baseline,36.9%,59.5%
egg basket storage for kitchen decor,B09JVKMHBF,0.0,0.9802,0.4901,0.0,1.0,0.5,Trained,36.5%,60.0%
egg basket storage for kitchen decor,B082QWHF17,0.0,0.7998,0.3999,0.3937,0.964,0.67885,Trained,36.0%,60.5%
egg basket storage for kitchen decor,B08DY7WXZ8,0.1688,1.0,0.5844,0.8928,0.8443,0.86855,Trained,35.6%,60.9%
bathroom slippers thick sole cushion non slip,B08TWZ16P2,2.6552,0.9547,1.8049499999999998,2.9482,0.8958,1.922,Trained,35.2%,61.4%
bathroom slippers thick sole cushion non slip,B08Z3NMPWP,0.109,0.5509,0.32994999999999997,1.2132,0.5808,0.897,Trained,34.8%,61.8%
bathroom slippers thick sole cushion non slip,B0B5GT6CNZ,2.9934,1.0,1.9967,1.4961,0.7959,1.146,Baseline,35.6%,61.1%
